Position	B.stacei	B.hybridumS	B.hybridumD	B.distachyon
2026	2	0	0	0
2027	1	0	0	0
2050	1	0	0	0
2057	1	0	0	0
2058	1	0	0	0
2061	1	0	0	0
2070	1	0	0	0
2075	1	0	0	0
2086	1	0	0	0
2089	1	0	0	0
2106	3	0	0	0
2120	1	0	0	0
2121	2	0	0	0
2123	1	0	0	0
2126	1	0	0	0
2133	1	0	0	0
2134	1	0	0	0
2138	1	13	0	0
2155	1	0	0	0
2157	1	0	0	0
2163	1	0	0	1
2188	3	0	0	0
2190	1	11	0	0
2197	1	0	0	1
2210	2	0	0	0
2214	1	0	0	0
2215	2	0	0	0
2225	1	0	0	0
2231	1	0	0	0
2232	6	0	0	0
2236	3	0	0	0
2239	2	0	0	0
2240	3	0	0	0
2241	1	0	0	0
2243	2	0	0	0
2244	2	0	0	0
2255	1	0	0	0
2259	1	0	0	0
2263	2	0	0	0
2271	2	0	0	0
2275	1	0	0	0
2302	1	0	0	0
2305	1	0	0	0
2307	1	0	0	0
2312	1	0	0	0
2322	1	0	0	0
2331	1	0	0	0
2364	1	0	0	2
2372	1	0	0	0
2388	2	0	0	0
2389	1	0	0	0
2400	2	0	0	0
2406	1	0	0	0
2408	1	0	0	0
2410	1	0	0	0
2416	1	0	0	0
2422	1	0	0	0
2429	1	0	0	0
2432	1	0	0	0
2434	2	0	0	0
2436	1	0	0	0
2441	1	0	0	0
2445	4	0	0	0
2446	2	0	0	0
2456	1	0	0	0
2472	1	0	0	0
2491	1	11	0	0
2492	1	0	0	0
2495	1	0	0	0
2515	1	0	0	1
2526	1	0	0	0
2530	2	0	0	0
2534	1	0	0	0
2538	2	0	0	0
2540	1	2	0	0
2549	2	0	0	0
2550	1	0	0	0
2552	1	0	0	0
2558	1	0	0	0
2564	1	0	0	0
2566	1	0	0	0
2569	1	0	0	0
2579	1	0	0	0
2582	1	0	0	0
2593	1	0	0	0
2613	1	0	0	0
2614	2	0	0	0
2615	3	0	0	0
2617	3	0	0	0
2628	2	0	0	0
2633	5	0	0	0
2634	1	0	0	0
2635	3	0	0	0
2643	3	0	0	0
2644	11	0	0	0
2645	1	0	0	0
2646	1	0	0	0
2649	4	0	0	0
2650	4	0	0	0
2651	2	0	0	0
2654	3	0	0	0
2655	4	0	0	0
2656	2	0	0	0
2659	2	0	0	0
2661	1	6	0	0
2662	2	0	0	0
2664	1	0	0	0
2669	2	0	0	0
2670	2	0	0	0
2672	1	0	0	0
2676	2	0	0	0
2677	1	0	0	0
2678	1	0	0	0
2679	2	0	0	0
2682	1	0	0	0
2685	1	0	0	0
2686	1	0	0	0
2687	1	0	0	0
2691	1	0	0	0
2698	1	0	0	0
2699	2	0	0	0
2702	3	0	0	0
2713	3	0	0	0
2714	2	0	0	0
2723	2	0	0	0
2730	1	0	0	0
2733	2	0	0	0
2743	1	0	0	0
2746	1	0	0	0
2752	1	0	0	0
2755	1	0	0	0
2768	2	0	0	0
2783	1	0	0	0
2784	1	0	0	0
2809	1	11	0	0
2832	1	0	0	0
2838	2	0	0	1
2840	1	0	0	0
2845	2	0	0	0
2846	1	0	0	1
2855	2	0	0	0
2861	1	0	0	0
2876	1	0	0	0
2879	2	0	0	0
2891	1	0	0	0
2894	1	0	0	0
2897	2	0	0	0
2906	1	0	0	0
2907	3	0	0	0
2911	2	0	0	0
2914	3	0	0	0
2915	1	0	0	0
2916	2	0	0	0
2917	1	0	0	0
2919	2	0	0	0
2925	1	0	0	0
2929	1	0	0	0
2936	1	0	0	0
2964	1	0	0	0
2968	1	0	0	0
2970	4	0	0	0
2973	1	0	0	0
2978	1	0	0	0
2986	1	0	0	0
2987	1	0	0	0
2999	1	0	0	0
3000	2	0	0	0
3010	2	0	0	0
3014	1	0	0	0
3018	1	0	0	0
3026	1	0	0	0
3028	3	0	0	0
3029	5	0	0	0
3036	2	0	0	0
3048	1	0	0	0
3066	1	0	0	0
3072	11	1	0	0
3096	3	0	0	0
3116	2	0	0	0
3122	1	0	0	0
3124	2	0	0	0
3125	1	0	0	0
3127	2	0	0	0
3128	3	0	0	0
3130	1	0	0	0
3131	2	0	0	0
3132	1	0	0	0
3140	2	0	0	0
3149	1	0	0	0
3172	1	0	0	0
3179	1	0	0	0
3181	1	0	0	0
3184	1	0	0	0
3186	1	0	0	0
3191	2	0	0	0
3196	1	0	0	0
3208	1	0	0	0
3209	1	0	0	0
3235	1	0	0	0
3240	1	0	0	0
3244	1	0	0	0
3249	1	0	0	0
3260	1	0	0	0
3261	3	0	0	0
3263	1	0	0	0
3264	1	0	0	0
3268	3	0	0	0
3272	1	0	0	0
3284	1	0	0	0
3287	2	0	0	0
3289	1	0	0	0
3303	1	0	0	0
3306	2	0	0	0
3311	1	0	0	0
3314	2	0	0	0
3315	1	0	0	0
3318	2	0	0	0
3325	1	0	0	0
3326	2	0	0	0
3342	2	0	0	0
3343	3	0	0	0
3345	2	0	0	0
3353	1	0	0	0
3372	3	0	0	0
3374	1	0	0	0
3375	1	0	0	0
3376	3	0	0	0
3380	4	0	0	0
3383	4	0	0	0
3385	1	0	0	0
3387	2	0	0	0
3389	7	0	0	0
3393	4	0	0	0
3395	2	0	0	0
3396	1	0	0	0
3398	2	0	0	0
3399	1	0	0	0
3403	2	0	0	0
3404	2	0	0	0
3407	1	0	0	0
3408	2	0	0	0
3409	3	0	0	0
3410	2	0	0	0
3413	1	0	0	0
3414	1	0	0	0
3419	1	0	0	0
3429	3	0	0	0
3440	1	0	0	0
3453	4	0	0	0
3455	2	0	0	0
3462	1	0	0	0
3467	1	0	0	0
3471	1	0	0	0
3477	1	0	0	0
3480	1	0	0	0
3484	2	0	0	0
3487	1	0	0	0
3490	1	0	0	0
3496	1	0	0	0
3502	1	0	0	0
3507	1	0	0	0
3508	1	0	0	0
3510	1	0	0	0
3515	1	0	0	0
3516	1	0	0	0
3527	4	0	0	0
3534	7	0	0	0
3536	1	0	0	0
3537	1	0	0	0
3546	1	0	0	0
3547	2	0	0	0
3558	4	0	0	0
3576	1	0	0	0
3578	1	0	0	0
3586	1	0	0	0
3587	3	0	0	0
3597	2	0	0	0
3600	3	0	0	0
3603	1	0	0	0
3604	1	0	0	0
3610	2	0	0	0
3615	1	0	0	0
3616	1	0	0	0
3619	1	0	0	0
3625	2	0	0	0
3626	1	0	0	0
3637	1	0	0	0
3638	2	0	0	0
3640	1	0	0	0
3650	2	0	0	1
3651	1	0	0	0
3652	3	0	0	0
3660	1	0	0	0
3661	3	0	0	0
3662	1	0	0	0
3665	2	0	0	0
3674	1	0	0	0
3694	2	0	0	0
3709	1	0	0	0
3713	1	0	0	1
3723	1	0	0	0
3724	1	0	0	0
3729	2	0	0	0
3733	1	0	0	0
3740	1	0	0	0
3757	1	0	0	0
3760	1	0	0	0
3823	3	0	0	0
3824	2	0	0	0
3825	1	1	0	0
3831	1	0	0	0
3839	2	0	0	0
3840	1	0	0	0
3841	1	0	0	0
3846	1	0	0	0
3850	5	0	0	0
3852	2	0	0	0
3877	2	0	0	0
3880	2	0	0	0
3887	1	0	0	0
3888	1	0	0	0
3893	1	0	0	0
3901	1	0	0	0
3904	2	0	0	0
3907	1	0	0	0
3913	1	0	0	1
3932	1	0	0	0
3934	2	0	0	0
3937	2	0	0	0
3938	1	0	0	0
3944	1	0	0	0
3948	3	0	0	0
3951	1	0	0	0
3955	1	0	0	0
3970	1	0	0	0
3975	1	0	0	1
3978	1	0	0	0
3983	1	0	0	0
3984	2	0	0	0
3991	2	0	0	0
3996	1	0	0	0
3997	1	0	0	0
3998	1	0	0	0
3999	5	0	0	1
4003	2	0	0	0
4006	1	0	0	0
4026	1	0	0	0
4028	1	0	0	0
4037	1	0	0	0
4039	1	0	0	0
4040	1	0	0	0
4043	1	0	0	0
4048	2	0	0	0
4052	2	0	0	0
4064	1	0	0	0
4066	2	0	0	0
4072	1	0	0	0
4074	2	0	0	0
4075	1	0	0	0
4080	2	0	0	0
4083	1	0	0	0
4090	1	0	0	0
4092	1	0	0	0
4093	2	0	0	0
4095	1	0	0	0
4097	3	8	0	0
4103	2	0	0	0
4109	2	0	0	0
4113	1	0	0	0
4135	1	0	0	0
4137	2	0	0	0
4144	7	0	0	0
4145	7	0	0	0
4147	4	0	0	0
4148	2	0	0	0
4149	3	0	0	0
4150	3	0	0	0
4159	5	0	0	0
4160	2	0	0	0
4161	8	0	0	0
4163	2	0	0	0
4164	4	0	0	0
4170	1	0	0	0
4173	1	0	0	0
4174	1	0	0	0
4175	1	0	0	0
4199	1	0	0	0
4202	4	0	0	0
4203	1	0	0	0
4206	1	0	0	0
4207	1	0	0	0
4213	6	0	0	0
4216	1	0	0	0
4217	2	0	0	0
4219	1	0	0	0
4220	1	0	0	2
4225	1	0	0	1
4226	5	0	0	0
4227	1	0	0	0
4229	1	0	0	0
4232	2	0	0	0
4235	3	0	0	0
4237	2	0	0	0
4239	1	0	0	0
4246	5	0	0	0
4247	1	0	0	0
4249	1	0	0	0
4264	1	0	0	0
4267	1	0	0	0
4271	1	0	0	0
4293	1	0	0	0
4317	1	0	0	1
4325	2	0	0	0
4328	2	0	0	0
4344	1	0	0	0
4345	1	0	0	0
4346	1	0	0	0
4347	1	0	0	0
4362	1	0	0	0
4384	1	0	0	0
4388	1	0	0	0
4397	2	0	0	0
4399	1	0	0	0
4405	1	0	0	0
4409	1	0	0	0
4413	1	0	0	0
4416	4	0	0	0
4422	1	0	0	0
4435	3	2	0	0
4436	2	4	0	0
4437	1	0	0	0
4439	1	0	0	0
4449	1	0	0	0
4450	1	0	0	0
4451	1	0	0	0
4461	1	0	0	0
4463	1	0	0	0
4474	1	0	0	0
4475	1	0	0	0
4494	1	0	0	0
4538	1	0	0	0
4545	1	0	0	0
4550	1	0	0	0
4551	5	1	0	0
4562	1	0	0	0
4568	1	0	0	0
4574	2	0	0	0
4576	2	0	0	0
4578	1	0	0	0
4579	1	0	0	0
4581	2	0	0	0
4582	2	0	0	0
4585	1	4	0	0
4586	5	0	0	0
4588	1	0	0	0
4591	4	0	0	0
4592	1	0	0	0
4595	1	0	0	0
4607	3	0	0	0
4608	1	0	0	0
4615	1	0	0	0
4632	1	0	0	0
4644	1	1	0	0
4650	2	0	0	0
4651	2	0	0	0
4663	1	0	0	0
4672	1	0	0	0
4703	1	0	0	0
4706	1	0	0	0
4707	1	0	0	0
4714	1	0	0	0
4715	2	0	0	0
4737	1	0	0	0
4738	2	0	0	0
4749	1	0	0	0
4754	1	0	0	0
4757	1	7	0	0
4759	1	6	0	0
4783	3	0	0	0
4784	9	0	0	0
4792	1	0	0	0
4794	2	0	0	0
4803	1	0	0	0
4808	1	0	0	0
4809	2	0	0	0
4810	8	0	0	0
4826	1	0	0	0
4837	4	0	0	0
4844	1	0	0	0
4849	1	5	0	0
4853	1	0	0	0
4864	1	0	0	0
4865	2	0	0	0
4866	5	0	0	0
4870	1	0	0	0
4872	2	0	0	0
4873	4	0	0	0
4879	4	0	0	0
4888	3	0	0	0
4894	4	0	0	0
4903	1	0	0	0
4907	5	0	0	0
4910	1	0	0	0
4913	1	0	0	1
4921	3	0	0	0
4923	2	0	0	0
4925	1	0	0	0
4926	1	0	0	0
4927	1	2	0	0
4928	1	0	0	0
4929	4	2	0	0
4935	1	0	0	0
4944	1	0	0	0
4945	1	0	0	0
4950	2	0	0	0
4961	1	0	0	0
4993	2	0	0	0
4994	3	0	0	0
4997	1	0	0	0
4998	2	0	0	0
4999	1	0	0	0
5000	4	0	0	0
5007	6	0	0	0
5013	2	0	0	0
5020	2	0	0	0
5026	3	0	0	0
5027	1	0	0	0
5029	1	0	0	0
5034	1	0	0	0
5041	3	0	0	0
5043	1	0	0	0
5044	2	0	0	0
5053	1	0	0	0
5062	1	0	0	0
5074	1	0	0	0
5078	1	0	0	0
5092	2	0	0	0
5099	1	0	0	0
5100	4	0	0	0
5103	2	0	0	0
5121	1	0	0	0
5130	2	0	0	0
5131	1	0	0	0
5132	2	0	0	0
5156	2	0	0	0
5173	3	0	0	0
5180	1	0	0	0
5181	4	0	0	0
5183	1	0	0	0
5184	1	0	0	0
5185	4	0	0	0
5186	1	0	0	0
5191	1	1	0	0
5192	2	10	0	0
5198	1	0	0	0
5200	1	0	0	0
5209	2	0	0	0
5214	1	0	0	0
5221	1	0	0	0
5233	2	0	0	0
5238	1	0	0	0
5239	1	0	0	0
5240	2	0	0	0
5254	3	0	0	0
5256	1	2	0	2
5261	1	0	0	0
5262	1	1	0	0
5267	1	0	0	0
5270	1	0	0	0
5272	2	0	0	0
5288	3	0	0	0
5298	2	0	0	0
5299	5	0	0	0
5302	1	0	0	0
5303	1	0	0	0
5304	1	0	0	0
5309	1	0	0	0
5319	1	0	0	0
5320	2	0	0	1
5323	1	0	0	0
5330	1	0	0	0
5333	1	0	0	0
5337	3	0	0	0
5338	1	0	0	0
5339	1	0	0	0
5345	1	0	0	0
5346	1	0	0	0
5355	4	0	0	0
5361	1	0	0	0
5362	2	0	0	0
5370	1	0	0	0
5372	1	0	0	0
5374	1	0	0	0
5375	3	0	0	0
5379	2	0	0	0
5394	1	2	0	0
5397	1	0	0	0
5409	1	0	0	0
5412	1	0	0	0
5413	1	0	0	0
5438	1	0	0	0
5441	2	1	0	0
5445	2	0	0	0
5459	1	0	0	0
5484	1	0	0	0
5505	1	0	0	0
5507	1	0	0	0
5508	1	0	0	0
5513	1	0	0	0
5528	1	0	0	0
5530	1	0	0	0
5532	1	0	0	0
5533	1	0	0	0
5535	1	0	0	0
5544	1	0	0	0
5547	1	0	0	0
5550	1	0	0	0
5563	1	0	0	0
5570	1	0	0	0
5587	1	0	0	0
5593	1	0	0	0
5597	1	0	0	0
5598	1	0	0	0
5599	1	0	0	0
5602	1	0	0	0
5603	3	0	0	0
5605	4	0	0	0
5616	1	0	0	0
5619	2	0	0	0
5629	2	0	0	0
5632	1	0	0	0
5643	2	0	0	0
5645	1	0	0	0
5648	1	0	0	0
5651	2	0	0	0
5659	1	0	0	0
5660	3	0	0	0
5663	1	0	0	0
5666	1	0	0	0
5667	2	0	0	0
5669	1	0	0	0
5685	2	0	0	0
5690	2	0	0	0
5700	1	0	0	0
5703	1	0	0	0
5704	3	0	0	0
5718	1	0	0	0
5730	1	0	0	0
5746	1	0	0	0
5767	1	0	0	0
5777	1	1	0	0
5793	1	0	0	0
5822	1	0	0	0
5830	1	0	0	0
5836	1	0	0	0
5855	2	0	0	0
5858	1	2	0	0
5864	1	8	0	0
5865	1	0	0	0
5880	1	0	0	0
5884	3	0	0	0
5886	1	0	0	0
5903	1	0	0	0
5909	1	0	0	1
5921	1	0	0	0
5924	1	0	0	0
5928	1	0	0	0
5931	3	0	0	0
5945	1	0	0	0
5946	2	0	0	0
5947	1	0	0	0
5950	1	0	0	0
5995	1	0	0	0
6001	1	0	0	0
6004	1	0	0	0
6043	1	0	0	0
6052	1	0	0	0
6060	1	0	0	0
6062	1	0	0	0
6073	1	0	0	0
6075	2	0	0	0
6080	1	0	0	0
6082	2	0	0	0
6084	1	0	0	0
6085	1	0	0	0
6114	1	0	0	0
6118	1	0	0	0
6123	1	0	0	0
6124	2	0	0	0
6133	1	0	0	0
6142	1	0	0	0
6144	2	0	0	0
6149	1	0	0	0
6159	1	0	0	0
6163	2	1	0	0
6166	1	0	0	0
6176	3	0	0	0
6178	1	0	0	0
6180	1	0	0	0
6181	2	0	0	0
6182	1	0	0	0
6184	1	0	0	0
6186	1	0	0	0
6194	4	0	0	0
6197	1	0	0	0
6202	1	0	0	0
6203	2	0	0	0
6205	1	0	0	0
6210	2	0	0	0
6214	1	0	0	0
6217	3	0	0	0
6218	1	0	0	0
6223	2	2	0	0
6225	1	0	0	0
6227	1	0	0	0
6229	2	0	0	0
6233	1	0	0	0
6256	1	0	0	0
6258	1	0	0	0
6261	2	0	0	0
6269	1	0	0	0
6295	1	0	0	0
6298	1	0	0	0
6299	3	0	0	0
6304	1	0	0	0
6306	4	0	0	0
6324	2	0	0	0
6327	2	0	0	0
6330	1	0	0	0
6331	1	0	0	0
6347	1	0	0	0
6362	1	0	0	0
6363	1	0	0	0
6369	1	0	0	0
6378	1	0	0	0
6382	1	0	0	0
6405	1	0	0	0
6411	1	0	0	0
6437	1	0	0	0
6439	1	0	0	0
6451	1	0	0	0
6453	2	0	0	0
6454	1	0	0	0
6463	1	0	0	0
6467	1	0	0	0
6471	1	0	0	0
6486	1	0	0	0
6489	2	0	0	0
6490	1	0	0	0
6496	1	0	0	0
6498	3	0	0	0
6499	1	0	0	0
6500	2	2	0	0
6511	1	0	0	0
6513	1	0	0	0
6518	1	0	0	0
6522	4	0	0	0
6523	4	0	0	0
6524	2	0	0	0
6525	2	0	0	0
6535	1	0	0	0
6538	1	0	0	0
6543	2	0	0	0
6563	2	0	0	0
6565	1	0	0	0
6572	2	0	0	0
6580	3	0	0	0
6581	4	0	0	0
6585	2	0	0	0
6594	1	0	0	0
6596	2	0	0	0
6605	1	0	0	0
6606	4	0	0	0
6607	4	0	0	0
6608	1	0	0	0
6609	1	0	0	0
6610	1	0	0	0
6616	1	0	0	0
6617	3	0	0	0
6619	1	0	0	0
6622	2	0	0	0
6624	1	0	0	0
6628	1	0	0	0
6629	1	0	0	0
6634	1	0	0	0
6635	1	0	0	0
6636	1	0	0	0
6644	1	0	0	0
6653	4	0	0	0
6656	1	0	0	0
6663	1	0	0	0
6678	3	0	0	0
6681	1	0	0	0
6686	1	0	0	0
6693	3	0	0	0
6694	1	0	0	0
6698	2	0	0	0
6710	1	0	0	0
6718	1	0	0	0
6720	4	0	0	0
6721	3	1	0	0
6723	1	0	0	0
6725	1	0	0	0
6731	1	0	0	0
6739	1	0	0	0
6741	2	0	0	0
6743	1	0	0	0
6746	1	0	0	0
6751	1	0	0	0
6760	1	0	0	0
6761	1	0	0	0
6762	1	0	0	0
6770	2	0	0	0
6778	1	0	0	0
6785	1	0	0	0
6791	2	0	0	0
6792	1	0	0	0
6797	1	0	0	0
6800	1	0	0	0
6801	2	0	0	0
6802	3	0	0	0
6807	2	0	0	0
6816	1	0	0	0
6821	2	0	0	0
6822	1	0	0	0
6823	3	0	0	0
6824	1	0	0	0
6825	2	0	0	0
6830	1	0	0	0
6838	1	0	0	0
6842	1	0	0	0
6847	1	0	0	0
6852	1	0	0	0
6854	1	0	0	0
6858	3	0	0	0
6865	1	0	0	0
6869	1	0	0	0
6870	2	0	0	0
6873	1	0	0	0
6875	1	0	0	0
6876	1	0	0	0
6894	1	0	0	0
6895	4	0	0	0
6896	2	0	0	0
6903	1	0	0	0
6905	1	0	0	0
6913	1	0	0	0
6925	6	0	0	0
6931	1	2	0	0
6934	2	0	0	0
6938	1	0	0	0
6943	1	0	0	0
6959	2	0	0	0
6960	9	0	0	0
6962	1	0	0	0
6963	5	0	0	0
6964	2	0	0	2
6965	1	0	0	0
6967	2	0	0	0
6968	1	0	0	0
6970	2	0	0	0
6971	2	0	0	0
6972	1	0	0	0
6976	3	0	0	0
6982	2	0	0	0
6983	1	0	0	0
6985	1	0	0	0
6989	1	0	0	0
6992	2	0	0	0
6993	3	0	0	0
6994	1	0	0	0
7000	2	0	0	0
7008	4	2	0	0
7009	4	4	0	0
7010	4	0	0	0
7011	1	0	0	0
7014	1	0	0	0
7019	1	0	0	0
7022	1	0	0	0
7023	1	0	0	0
7024	1	0	0	0
7027	1	4	0	0
7028	4	0	0	0
7036	1	0	0	0
7038	2	0	0	0
7040	2	0	0	0
7041	1	0	0	0
7046	2	0	0	0
7053	1	0	0	0
7054	1	0	0	0
7058	1	0	0	1
7062	3	0	0	0
7071	3	0	0	0
7073	2	0	0	0
7076	2	0	0	0
7077	3	0	0	0
7081	5	0	0	0
7082	7	0	0	0
7084	2	0	0	0
7085	2	0	0	0
7086	4	0	0	0
7087	2	0	0	0
7098	1	0	0	0
7099	5	0	0	0
7104	2	0	0	0
7106	4	0	0	0
7107	3	0	0	0
7112	2	0	0	0
7113	2	0	0	0
7114	3	0	0	0
7126	3	0	0	0
7129	1	0	0	0
7130	1	0	0	0
7133	6	0	0	0
7134	2	0	0	0
7141	1	0	0	0
7142	4	0	0	0
7143	4	0	0	0
7156	1	0	0	0
7161	6	0	0	0
7162	2	0	0	0
7164	1	0	0	0
7166	1	0	0	0
7167	1	0	0	0
7173	1	0	0	0
7176	3	0	0	0
7192	1	0	0	0
7193	1	0	0	0
7194	1	0	0	0
7196	1	2	0	0
7197	1	0	0	0
7200	1	0	0	0
7202	1	0	0	0
7204	1	0	0	0
7205	1	0	0	0
7208	1	0	0	0
7238	1	0	0	0
7242	2	0	0	0
7249	1	0	0	0
7252	1	0	0	0
7253	8	0	0	0
7254	1	0	0	0
7256	1	0	0	0
7277	1	0	0	0
7284	2	0	0	0
7285	2	0	0	0
7286	2	0	0	0
7298	1	0	0	0
7300	1	0	0	0
7301	1	0	0	0
7302	1	0	0	0
7304	1	0	0	0
7317	1	0	0	0
7319	1	0	0	0
7325	1	0	0	0
7327	1	0	0	0
7332	1	0	0	1
7333	3	0	0	0
7347	2	0	0	0
7351	2	0	0	0
7353	1	0	0	0
7359	1	0	0	0
7361	1	0	0	0
7363	1	0	0	0
7375	1	0	0	0
7376	1	0	0	0
7377	1	0	0	0
7381	1	0	0	0
7382	2	0	0	0
7383	2	0	0	0
7384	1	0	0	0
7390	1	0	0	0
